sample_id,text,algorithm_claim,algorithm_substituted_text,about_tesla,substitution_correct,note
ceo_only-141126649-1,Musk framed the issue as a volume problem: more robots doing more tasks means more devices competing for capacity.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-137230805-1,"Analyst Andres Sheppard pointed to several key drivers for the new valuation, including upcoming production milestones for the company's Cybercab, Semi truck, and Optimus robot.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Analyst Andres Sheppard pointed to several key drivers for the new valuation, including upcoming production milestones for Tesla's Cybercab, Semi truck, and Optimus robot.",,,
ceo_only-140124628-17,"Musk, an OpenAI co-founder from 2015, alleges the company breached its founding contract by partnering with Microsoft and selling commercial products.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-140421245-5,Gracias loaned Musk $1 million to keep the company alive.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Gracias loaned Musk $1 million to keep Tesla alive.,,,
coref-139190932-3,"Its Robotaxi service, in particular, could morph into a major business for the company over the long haul.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla's Robotaxi service, in particular, could morph into a major business for the company over the long haul.",,,
ceo_only-141125702-21,"Time will tell where shares of SpaceX open tomorrow, but Elon Musk took to X with his thoughts on the new price of admission, which is $10-20 below the IPO price of $135 per share.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-140460087-23,"It expires in 20 day(s) on June 18, 2026 .","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla expires in 20 day(s) on June 18, 2026 .",,,
anaphora-136536120-27,The company is a developer of autonomous trucks and Giroux sees more upside ahead.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla is a developer of autonomous trucks and Giroux sees more upside ahead.,,,
anaphora-141046220-25,It's trading at just 18 times forward earnings.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's trading at just 18 times forward earnings.,,,
ceo_only-140476257-2,"SpaceX ( SPAX.PVT ) is targeting a public listing roughly 24 years after Elon Musk founded the rocket maker, underscoring a market shift that has pushed more company-building into private markets — and left public investors looking for wrappers, proxies, and ETFs to get in sooner.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-140035346-16,"After prevaricating, Musk said: ""In this case, yes.""",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
